Additive_Fratures,Importance
MATS5s,0.048685104
ATSC2p,0.18761024
PEOE_VSA9,0.06618487
GATS2p,0.14282161
PEOE_VSA11,0.13191266
ATSC4i,0.14104678
GATS4i,0.15581498
BCUTi-1h,0.060839277
MATS4i,0.19434562
MATS4dv,0.083834775
SlogP_VSA10,0.17743878
BCUTdv-1h,0.07008149
VSA_EState8,0.1209179
AATSC4i,0.063481316
GATS4d,0.047138322
AMID_N,0.081555486
AATSC2c,0.050388955
AATSC3i,0.139832
AATS1dv,0.15291569
EState_VSA6,0.1485031
RPCS,0.106894135
VSA_EState4,0.107679635
PEOE_VSA10,0.19863285
AATS5dv,0.07773849
MATS2p,0.076380335
ATS4s,0.18376103
ATSC3d,0.104432635
GATS4pe,0.14080852
ATSC7c,0.093011364
JGI4,0.06181026
AATS4i,0.10107067
JGI5,0.068070605
MATS3i,0.04501283
ATS4dv,0.14908177
GATS4dv,0.049897373
ATSC3m,0.15681374
ATSC2s,0.13163057
ATSC3p,0.10927736
ATSC2i,0.1982574
AATS3i,0.09747559
MATS3c,0.07967794
MATS2c,0.09922616
VE3_Dzi,0.06399814
MATS1c,0.07395891
MAXaaO,0.07779696
AATSC1v,0.08923831
ATSC1s,0.09243262
SsCH3,0.08854079
GATS5c,0.05961019
AATSC2s,0.15137263
AATSC3d,0.070758834
ATSC8c,0.07562233
AATS2m,0.11609992
ETA_dAlpha_B,0.11880524
MATS2are,0.1491557
ATSC1v,0.09575721
MATS2se,0.05179261
FNSA2,0.048180047
GATS3i,0.13993788
ATSC2v,0.08826752
BCUTZ-1l,0.11311013
GeomDiameter,0.12621808
GATS4are,0.06746297
AATSC2m,0.12912558
AATSC1c,0.10854965
AATSC2se,0.03630047
SaaO,0.17617325
ATSC6se,0.17585665
CIC5,0.052361585
AATS3Z,0.14935207
WNSA2,0.1081685
ATSC4are,0.16712928
ATSC4m,0.14146154
AMID,0.041934166
BalabanJ,0.07607215
VSA_EState7,0.08383325
AATSC1s,0.11527855
SIC5,0.096213415
PBF,0.10650406
ATSC4pe,0.09039402
ATSC6p,0.17848653
ATSC7dv,0.1748403
ATSC2c,0.15771727
BCUTp-1l,0.1890131
MATS4p,0.1325773
GATS4v,0.047384772
AATSC4dv,0.10190444
MATS3s,0.060753692
JGI7,0.06830078
BIC1,0.14419301
ATSC4v,0.112248965
AETA_eta_L,0.18895903
MATS4are,0.117828615
ATSC4dv,0.20044361
SRW09,0.13545124
AATSC5dv,0.046309147
MAXaaCH,0.1133571
AATSC4se,0.10897258
ETA_shape_y,0.08994365
AATSC2i,0.06950714
