Epoch,Train_Loss,Test_Loss,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Train_MAE,Test_MAE
1,0.10422776012935421,0.05969320982694626,0.32415918,0.24432194,-0.41307294368743896,0.20083534717559814,0.2520885765552521,0.1919478327035904
2,0.04661979543214494,0.04141070321202278,0.21604896,0.2034962,0.3722997307777405,0.4455990195274353,0.17376554012298584,0.16327384114265442
3,0.04120641625062986,0.0363391637802124,0.20310713,0.19062835,0.4452487826347351,0.5134961605072021,0.16022655367851257,0.15030117332935333
4,0.03865842309526422,0.03895742446184158,0.19621614,0.19737636,0.4822533130645752,0.4784432649612427,0.15413090586662292,0.15137603878974915
5,0.03766441455280239,0.04478476569056511,0.19452251,0.21162412,0.49115240573883057,0.40042757987976074,0.15001481771469116,0.17039652168750763
6,0.03547454345971346,0.03103216551244259,0.18823296,0.1761595,0.5235259532928467,0.5845455527305603,0.14687655866146088,0.1394074410200119
7,0.034230508164248684,0.027522176504135132,0.1851443,0.16589808,0.5390342473983765,0.6315368413925171,0.14325480163097382,0.12986242771148682
8,0.029996411536227573,0.026774315163493156,0.17226313,0.1636286,0.6009451150894165,0.6415491104125977,0.13311883807182312,0.1234649047255516
9,0.02919475514103066,0.02693864330649376,0.17084013,0.16412996,0.6075108051300049,0.639349102973938,0.13187813758850098,0.12896987795829773
10,0.02506845537573099,0.024093618616461754,0.15842834,0.15522118,0.6624689698219299,0.6774379014968872,0.12169166654348373,0.11436723172664642
11,0.023435184224085373,0.01930908113718033,0.15332273,0.13895711,0.6838734149932861,0.7414926290512085,0.11548032611608505,0.10502608865499496
12,0.020912244704298,0.01905486173927784,0.14492913,0.13803935,0.7175384759902954,0.7448960542678833,0.10856028646230698,0.10426351428031921
13,0.02185578966005282,0.02175053395330906,0.14787953,0.14748062,0.705920934677124,0.7088068127632141,0.11144737154245377,0.11812110245227814
14,0.020054017955606632,0.020748089998960495,0.14142664,0.14404197,0.7310259342193604,0.7222273349761963,0.10658420622348785,0.1057634949684143
15,0.017823278268968516,0.016992200165987015,0.1335767,0.13035414,0.7600562572479248,0.7725107669830322,0.0982326865196228,0.10058673471212387
16,0.01709211410277269,0.017158815637230873,0.13096353,0.13099167,0.7693524956703186,0.7702800631523132,0.09592150896787643,0.09653192013502121
17,0.017293840773742308,0.01590314507484436,0.13164344,0.12610768,0.7669514417648315,0.7870908379554749,0.0958421602845192,0.09225088357925415
18,0.01723525038158352,0.0162604171782732,0.13122028,0.12751634,0.7684472799301147,0.7823077440261841,0.09887900203466415,0.0944800078868866
19,0.015976032919504425,0.0134650319814682,0.12635551,0.116038926,0.7852978706359863,0.8197319507598877,0.09428518265485764,0.0835561752319336
20,0.015560718507251957,0.014987440779805183,0.123619765,0.1224232,0.7944943308830261,0.7993501424789429,0.08968300372362137,0.09469523280858994
21,0.015595824584703554,0.014343693852424622,0.12455531,0.11976516,0.7913720607757568,0.8079685568809509,0.09168855845928192,0.08886260539293289
22,0.015204705170948397,0.014224112033843994,0.12353197,0.119264886,0.7947861552238464,0.8095694780349731,0.09116612374782562,0.0901186391711235
23,0.01362294102595611,0.013123905286192894,0.11664573,0.11455962,0.8170275688171387,0.8242989182472229,0.08423639088869095,0.08228369802236557
24,0.013211020903492516,0.010985076427459717,0.11486152,0.10480971,0.8225822448730469,0.8529332876205444,0.08254604786634445,0.07426842302083969
25,0.013083307580514387,0.012974138371646404,0.11451017,0.11390408,0.823665976524353,0.8263039588928223,0.08086079359054565,0.08569690585136414
26,0.013054113962094892,0.011206353083252907,0.11425827,0.10586007,0.8244409561157227,0.849970817565918,0.08193043619394302,0.0766989141702652
27,0.01193776773288846,0.012161850929260254,0.10935196,0.11028078,0.8391944169998169,0.8371787667274475,0.07782373577356339,0.07936854660511017
28,0.013238606381822716,0.011370315216481686,0.114735514,0.10663168,0.8229712843894958,0.8477757573127747,0.08140408247709274,0.08000694215297699
29,0.01149636676365679,0.01078797411173582,0.10735236,0.10386518,0.8450216054916382,0.8555720448493958,0.07668320089578629,0.07286550104618073
30,0.01167084484107115,0.01186496950685978,0.10820142,0.10892644,0.8425604104995728,0.8411533832550049,0.0777316763997078,0.08639891445636749
31,0.011408375787802717,0.009103517979383469,0.10651704,0.09541236,0.8474240303039551,0.8781233429908752,0.07784701883792877,0.0680122897028923
32,0.011550258040766825,0.011955160647630692,0.10762103,0.109339654,0.8442448973655701,0.839945912361145,0.07789763063192368,0.0818459764122963
33,0.011876255993477323,0.010922486893832684,0.10922962,0.10451071,0.8395540714263916,0.8537712097167969,0.07845235615968704,0.07696384191513062
34,0.010858321901072155,0.00924190878868103,0.10436131,0.09613485,0.8535373210906982,0.876270592212677,0.07411438971757889,0.06948864459991455
35,0.010063910645178774,0.010641134344041348,0.09987201,0.10315588,0.865867018699646,0.8575379252433777,0.07114166766405106,0.07509215921163559
36,0.010196244513446634,0.010006812401115894,0.1006514,0.10003406,0.8637653589248657,0.8660301566123962,0.07091066986322403,0.07383538782596588
37,0.009810000594536012,0.008399482816457748,0.098999046,0.09164869,0.8682016730308533,0.8875488638877869,0.07110336422920227,0.06517858058214188
38,0.011146945878863335,0.013064651750028133,0.1056518,0.11430071,0.8498927354812622,0.8250921964645386,0.07454054802656174,0.08500877767801285
39,0.011990604414181276,0.011660004034638405,0.10995599,0.1079815,0.8374130129814148,0.8438974618911743,0.07750988751649857,0.07449610531330109
40,0.009694878689267418,0.008587249554693699,0.098608285,0.092667416,0.8692400455474854,0.8850350379943848,0.06926005333662033,0.06652608513832092
41,0.008953874062916095,0.00958453118801117,0.0949559,0.097900614,0.8787471652030945,0.8716835975646973,0.06594828516244888,0.06869392096996307
42,0.009460852502591231,0.009580811485648155,0.09684685,0.09788162,0.8738698363304138,0.8717333674430847,0.06762231141328812,0.06767197698354721
43,0.009963626782833175,0.010021490976214409,0.10014714,0.100107394,0.8651269674301147,0.8658336400985718,0.07124947756528854,0.06905613094568253
44,0.008530487094751814,0.008510919287800789,0.092510395,0.092254646,0.8849122524261475,0.8860569596290588,0.0661768764257431,0.06847121566534042
45,0.008519489381631667,0.008821829222142696,0.09198971,0.0939246,0.8862041234970093,0.8818945288658142,0.06399527937173843,0.0656740739941597
46,0.00902413090013645,0.00832830648869276,0.09467564,0.09125956,0.8794618844985962,0.888501763343811,0.06687585264444351,0.06389135122299194
47,0.007802153514190154,0.008762486279010773,0.08843304,0.093608156,0.8948335647583008,0.8826889991760254,0.06232085078954697,0.06882289797067642
48,0.008269047131761909,0.0077251410111784935,0.090874396,0.08789278,0.8889467716217041,0.8965768814086914,0.06495565921068192,0.06521002948284149
49,0.008777654433453625,0.010004806332290173,0.0935189,0.10002404,0.8823893070220947,0.8660569787025452,0.06619372963905334,0.07449544966220856
50,0.009072436845268716,0.00855799950659275,0.09550657,0.092509456,0.8773367404937744,0.8854266405105591,0.06790533661842346,0.06587313860654831
51,0.007957842497324402,0.007685960736125708,0.0894071,0.08766961,0.892504096031189,0.8971014022827148,0.06252801418304443,0.06249397248029709
52,0.007628955518488179,0.007357443682849407,0.0875836,0.08577555,0.896844208240509,0.9014995098114014,0.06202886253595352,0.060085177421569824
53,0.007310077981938693,0.008195607922971249,0.085126124,0.09052959,0.9025518298149109,0.8902783393859863,0.05945350602269173,0.06356785446405411
54,0.008319421480833129,0.00851859524846077,0.09123923,0.092296235,0.888053297996521,0.8859542012214661,0.06472022086381912,0.06639275699853897
55,0.00769741996191442,0.008466018363833427,0.0878299,0.09201097,0.8962632417678833,0.8866580724716187,0.06264635175466537,0.06422886997461319
56,0.006916568815623495,0.007292547263205051,0.0831174,0.08539641,0.9070965051651001,0.9023683667182922,0.058602530509233475,0.05944613367319107
57,0.007390617075460878,0.009856730699539185,0.08601776,0.09928107,0.9004997611045837,0.8680394291877747,0.05976001173257828,0.07164780795574188
58,0.007631490578536283,0.00829765759408474,0.08760298,0.09109148,0.8967985510826111,0.8889120817184448,0.062002215534448624,0.06232568621635437
59,0.007756390968676318,0.008744431659579277,0.08773505,0.09351166,0.8964871764183044,0.8829307556152344,0.061413537710905075,0.06430725008249283
60,0.007291773524643345,0.007536109536886215,0.08549232,0.08681077,0.901711642742157,0.8991075754165649,0.05893993750214577,0.05968206003308296
61,0.006815058835358782,0.007677407469600439,0.082459874,0.08762082,0.9085606336593628,0.8972159028053284,0.0575321689248085,0.06130647286772728
62,0.007709903388538144,0.006682682316750288,0.08740312,0.08174767,0.8972689509391785,0.9105331897735596,0.05995667353272438,0.057450663298368454
63,0.006592820885337212,0.007844598963856697,0.08123288,0.08856974,0.9112615585327148,0.8949775695800781,0.05654476210474968,0.06325525790452957
64,0.007925603898580779,0.007059352472424507,0.088503785,0.08401996,0.8946652412414551,0.9054903388023376,0.06133192405104637,0.06020335853099823
65,0.0066333122297444124,0.006874010432511568,0.08114001,0.08290965,0.9114643335342407,0.9079716801643372,0.057387180626392365,0.06206601858139038
66,0.006151506888934157,0.0062319086864590645,0.07802176,0.07894244,0.9181385636329651,0.9165680408477783,0.054666563868522644,0.05486944690346718
67,0.006816421254453334,0.007217975798994303,0.08271025,0.08495867,0.9080044627189636,0.9033666849136353,0.0578710176050663,0.061241958290338516
68,0.007054724413054911,0.006430582609027624,0.08377939,0.08019092,0.9056107997894287,0.9139082431793213,0.060276441276073456,0.05880408361554146
69,0.006028132312084464,0.006719487253576517,0.07759171,0.08197248,0.9190384745597839,0.9100404381752014,0.055655740201473236,0.0563858263194561
70,0.006796796097081493,0.005727873649448156,0.08219246,0.07568272,0.9091527462005615,0.9233160018920898,0.05678350105881691,0.05615656077861786
71,0.007215552592904053,0.007657354697585106,0.084899805,0.08750631,0.9030693173408508,0.8974843621253967,0.059668149799108505,0.06281102448701859
72,0.006386898510920053,0.0075544631108641624,0.08017059,0.08691642,0.913567304611206,0.8988618850708008,0.05712485313415527,0.06338118761777878
73,0.0060333124869926405,0.005896931979805231,0.07729923,0.07679149,0.9196476936340332,0.9210526943206787,0.05441277474164963,0.05514344945549965
74,0.005414816445078362,0.006530653219670057,0.0736227,0.080812454,0.92710942029953,0.9125685095787048,0.05196000263094902,0.05729122459888458
75,0.005180400171825154,0.006218517664819956,0.07210447,0.07885758,0.9300847053527832,0.9167473316192627,0.05029832199215889,0.05764635652303696
76,0.0058916759126904335,0.006378159858286381,0.076614924,0.07986339,0.9210640788078308,0.9146100282669067,0.05410759523510933,0.05581541731953621
77,0.0053766603814437985,0.006015786901116371,0.073159605,0.077561505,0.9280235171318054,0.9194614291191101,0.05172470584511757,0.05533228814601898
78,0.004870818324641071,0.006236344575881958,0.06975504,0.07897053,0.9345666170120239,0.916508674621582,0.05131400004029274,0.05594354122877121
79,0.005048166685314341,0.00600713724270463,0.07117337,0.07750572,0.9318786859512329,0.9195772409439087,0.051807038486003876,0.05693576857447624
80,0.004704036813398654,0.005806748755276203,0.06824543,0.07620203,0.9373681545257568,0.922260046005249,0.04818763583898544,0.05419345200061798
81,0.005024877800182862,0.006765588652342558,0.07057327,0.0822532,0.9330225586891174,0.9094232320785522,0.04907582700252533,0.059317223727703094
82,0.004828816068104722,0.006389551796019077,0.06938012,0.07993467,0.9352681636810303,0.9144575595855713,0.05015522241592407,0.05668993666768074
83,0.005239375909282403,0.005956695880740881,0.0724845,0.07717963,0.9293457269668579,0.9202525615692139,0.05077796429395676,0.05674218386411667
84,0.004960119459693405,0.005739412736147642,0.07049532,0.07575891,0.9331704378128052,0.923161506652832,0.050496701151132584,0.05429568141698837
85,0.004601721133274788,0.004828510340303183,0.06785077,0.06948748,0.9380905032157898,0.9353565573692322,0.04729427024722099,0.05117108300328255
86,0.004454003382389518,0.004682291764765978,0.06697995,0.06842728,0.9396694302558899,0.9373140931129456,0.04774580895900726,0.049251578748226166
87,0.0042619842993603515,0.005922792945057154,0.06526157,0.076959684,0.9427253007888794,0.9207064509391785,0.04591364040970802,0.05401487275958061
88,0.005385596368631179,0.006447236519306898,0.07342537,0.08029468,0.9274996519088745,0.9136852622032166,0.05178374424576759,0.05637926980853081
89,0.004609488194215704,0.00536554679274559,0.06807293,0.07324989,0.9376844167709351,0.9281668066978455,0.0494045615196228,0.05329286307096481
90,0.0045553464548323645,0.005767904222011566,0.06719523,0.07594672,0.9392809867858887,0.9227800965309143,0.047613486647605896,0.05268945172429085
91,0.0047446888003667646,0.006606181617826223,0.06872515,0.08127842,0.9364845752716064,0.9115573167800903,0.04933706298470497,0.06053760647773743
92,0.004472671563483097,0.004971108864992857,0.066853374,0.07050609,0.9398972392082214,0.9334474802017212,0.04866919666528702,0.05063405632972717
93,0.0040929613169282675,0.005781324114650488,0.06379557,0.07603502,0.9452695250511169,0.9226003885269165,0.04518992826342583,0.054653652012348175
94,0.00417904024520381,0.004982466343790293,0.06475083,0.07058659,0.9436182379722595,0.9332954287528992,0.04632158204913139,0.051341716200113297
95,0.004028046101501042,0.0043780142441391945,0.06350031,0.066166565,0.9457749724388123,0.9413877129554749,0.04644513130187988,0.0495089553296566
96,0.0038584015564993024,0.005189856514334679,0.0620603,0.07204066,0.9482064247131348,0.9305189251899719,0.04422766715288162,0.05294271931052208
97,0.0034782512917776,0.005912722088396549,0.058752265,0.07689422,0.9535808563232422,0.9208412766456604,0.04258909448981285,0.05400284007191658
98,0.004428130828521468,0.005034344736486673,0.06643105,0.070953116,0.9406541585922241,0.9326008558273315,0.048111412674188614,0.05225658044219017
99,0.0039794495413926516,0.004665150307118893,0.06319359,0.06830191,0.9462975263595581,0.9375435709953308,0.045429520308971405,0.04786132648587227
100,0.006181591507894072,0.008658919483423233,0.07830498,0.09305332,0.9175431132316589,0.8840755224227905,0.05002520605921745,0.06981269270181656
101,0.005601764698936181,0.005781060084700584,0.07475233,0.07603329,0.9248554706573486,0.922603964805603,0.053136032074689865,0.05524992197751999
102,0.004894328462383287,0.00605436647310853,0.0701031,0.07780981,0.9339120388031006,0.9189449548721313,0.0487859882414341,0.056558020412921906
103,0.004669671782969751,0.005167377181351185,0.06841143,0.07188447,0.9370630979537964,0.9308198690414429,0.04888612776994705,0.051145318895578384
104,0.004666876799257641,0.0051645636558532715,0.0681105,0.071864896,0.9376155734062195,0.9308575391769409,0.0471712127327919,0.04996639862656593
105,0.004637521437623284,0.004412441048771143,0.068133436,0.06642621,0.9375735521316528,0.9409268498420715,0.04800263047218323,0.04748215526342392
106,0.004164843312041326,0.005178388673812151,0.06456714,0.07196102,0.9439376592636108,0.9306724071502686,0.04559217020869255,0.051491428166627884
107,0.003862229122949595,0.004611058626323938,0.062198527,0.06790478,0.9479754567146301,0.9382677674293518,0.043950386345386505,0.049719735980033875
108,0.003756864546713504,0.005140187218785286,0.061387293,0.0716951,0.9493237137794495,0.9311838746070862,0.04420369863510132,0.05073416978120804
109,0.003854231580837884,0.004774551372975111,0.061871797,0.06909813,0.9485206007957458,0.9360789656639099,0.045707039535045624,0.05094585940241814
110,0.0038375665158541365,0.004374774172902107,0.061944168,0.06614208,0.94840008020401,0.9414311051368713,0.04499070718884468,0.047827452421188354
111,0.0046334964837032285,0.004288652911782265,0.06780579,0.06548781,0.9381725192070007,0.9425840973854065,0.04742312431335449,0.04744314029812813
112,0.003916797937232663,0.0045117880217731,0.062311254,0.067169845,0.9477867484092712,0.9395967721939087,0.04466370493173599,0.048051681369543076
113,0.003214860229160298,0.004227655474096537,0.0567605,0.06502043,0.9566748142242432,0.9434007406234741,0.04102239012718201,0.04737863689661026
114,0.003753928949167444,0.005020367447286844,0.061205596,0.070854545,0.9496232271194458,0.9327880144119263,0.04347279667854309,0.048427190631628036
115,0.003832846917000345,0.004565709736198187,0.061962698,0.06757004,0.9483692049980164,0.9388749003410339,0.04338369145989418,0.04952356964349747
116,0.003915980796922337,0.0045438846573233604,0.0627265,0.067408346,0.9470884799957275,0.9391670823097229,0.04351768642663956,0.050609007477760315
117,0.0032573032764379273,0.004089122638106346,0.05700927,0.063946255,0.9562942385673523,0.9452553987503052,0.041678380221128464,0.045141786336898804
118,0.003840503505092453,0.005670331884175539,0.06187448,0.07530161,0.9485161304473877,0.924086332321167,0.04323085397481918,0.05421321839094162
119,0.003718326492658393,0.005316080991178751,0.061045777,0.07291146,0.9498859643936157,0.9288290143013,0.043763417750597,0.05374305695295334
120,0.0030156354187056422,0.0046392581425607204,0.054776613,0.068112105,0.9596505165100098,0.9378902316093445,0.040292877703905106,0.05074763298034668
