n_estimators,max_depth,R2,RMSE,MAE
100,10,0.2521 ± 0.0014,0.2360 ± 0.0002,0.1974 ± 0.0002
100,50,0.8178 ± 0.0007,0.1165 ± 0.0002,0.0936 ± 0.0002
100,100,0.8181 ± 0.0009,0.1164 ± 0.0003,0.0935 ± 0.0002
100,200,0.8181 ± 0.0009,0.1164 ± 0.0003,0.0935 ± 0.0002
100,500,0.8181 ± 0.0009,0.1164 ± 0.0003,0.0935 ± 0.0002
200,10,0.2533 ± 0.0009,0.2358 ± 0.0001,0.1973 ± 0.0001
200,50,0.8192 ± 0.0004,0.1160 ± 0.0001,0.0936 ± 0.0001
200,100,0.8195 ± 0.0005,0.1159 ± 0.0001,0.0935 ± 0.0001
200,200,0.8195 ± 0.0005,0.1159 ± 0.0001,0.0935 ± 0.0001
200,500,0.8195 ± 0.0005,0.1159 ± 0.0001,0.0935 ± 0.0001
300,10,0.2539 ± 0.0010,0.2357 ± 0.0002,0.1972 ± 0.0001
300,50,0.8201 ± 0.0004,0.1158 ± 0.0001,0.0935 ± 0.0001
300,100,0.8203 ± 0.0005,0.1157 ± 0.0001,0.0934 ± 0.0001
300,200,0.8203 ± 0.0005,0.1157 ± 0.0001,0.0934 ± 0.0001
300,500,0.8203 ± 0.0005,0.1157 ± 0.0001,0.0934 ± 0.0001
500,10,0.2539 ± 0.0011,0.2357 ± 0.0002,0.1972 ± 0.0001
500,50,0.8207 ± 0.0005,0.1156 ± 0.0002,0.0935 ± 0.0001
500,100,0.8210 ± 0.0005,0.1155 ± 0.0002,0.0934 ± 0.0001
500,200,0.8210 ± 0.0005,0.1155 ± 0.0002,0.0934 ± 0.0001
500,500,0.8210 ± 0.0005,0.1155 ± 0.0002,0.0934 ± 0.0001
1000,10,0.2542 ± 0.0008,0.2356 ± 0.0001,0.1972 ± 0.0001
1000,50,0.8211 ± 0.0003,0.1154 ± 0.0001,0.0935 ± 0.0001
1000,100,0.8215 ± 0.0003,0.1153 ± 0.0001,0.0934 ± 0.0001
1000,200,0.8215 ± 0.0003,0.1153 ± 0.0001,0.0934 ± 0.0001
1000,500,0.8215 ± 0.0003,0.1153 ± 0.0001,0.0934 ± 0.0001
