n_estimators,max_depth,R2,RMSE,MAE
100,10,0.3750 ± 0.0028,0.2157 ± 0.0005,0.1762 ± 0.0005
100,50,0.8380 ± 0.0011,0.1098 ± 0.0004,0.0873 ± 0.0003
100,100,0.8380 ± 0.0011,0.1098 ± 0.0004,0.0873 ± 0.0003
100,200,0.8380 ± 0.0011,0.1098 ± 0.0004,0.0873 ± 0.0003
100,500,0.8380 ± 0.0011,0.1098 ± 0.0004,0.0873 ± 0.0003
200,10,0.3757 ± 0.0017,0.2156 ± 0.0003,0.1761 ± 0.0002
200,50,0.8399 ± 0.0005,0.1092 ± 0.0002,0.0871 ± 0.0002
200,100,0.8399 ± 0.0005,0.1092 ± 0.0002,0.0871 ± 0.0002
200,200,0.8399 ± 0.0005,0.1092 ± 0.0002,0.0871 ± 0.0002
200,500,0.8399 ± 0.0005,0.1092 ± 0.0002,0.0871 ± 0.0002
300,10,0.3757 ± 0.0017,0.2156 ± 0.0003,0.1761 ± 0.0002
300,50,0.8408 ± 0.0005,0.1089 ± 0.0002,0.0870 ± 0.0001
300,100,0.8408 ± 0.0005,0.1089 ± 0.0002,0.0870 ± 0.0001
300,200,0.8408 ± 0.0005,0.1089 ± 0.0002,0.0870 ± 0.0001
300,500,0.8408 ± 0.0005,0.1089 ± 0.0002,0.0870 ± 0.0001
500,10,0.3765 ± 0.0013,0.2155 ± 0.0002,0.1760 ± 0.0002
500,50,0.8413 ± 0.0002,0.1087 ± 0.0001,0.0870 ± 0.0001
500,100,0.8413 ± 0.0002,0.1087 ± 0.0001,0.0870 ± 0.0001
500,200,0.8413 ± 0.0002,0.1087 ± 0.0001,0.0870 ± 0.0001
500,500,0.8413 ± 0.0002,0.1087 ± 0.0001,0.0870 ± 0.0001
1000,10,0.3769 ± 0.0005,0.2154 ± 0.0001,0.1760 ± 0.0000
1000,50,0.8416 ± 0.0002,0.1086 ± 0.0001,0.0870 ± 0.0001
1000,100,0.8416 ± 0.0002,0.1086 ± 0.0001,0.0870 ± 0.0001
1000,200,0.8416 ± 0.0002,0.1086 ± 0.0001,0.0870 ± 0.0001
1000,500,0.8416 ± 0.0002,0.1086 ± 0.0001,0.0870 ± 0.0001
