n_estimators,max_depth,R2,RMSE,MAE
100,10,0.5646 ± 0.0015,0.1801 ± 0.0003,0.1384 ± 0.0002
100,50,0.8913 ± 0.0010,0.0900 ± 0.0004,0.0669 ± 0.0002
100,100,0.8913 ± 0.0010,0.0900 ± 0.0004,0.0668 ± 0.0002
100,200,0.8913 ± 0.0010,0.0900 ± 0.0004,0.0668 ± 0.0002
100,500,0.8913 ± 0.0010,0.0900 ± 0.0004,0.0668 ± 0.0002
200,10,0.5652 ± 0.0007,0.1799 ± 0.0002,0.1384 ± 0.0001
200,50,0.8927 ± 0.0004,0.0894 ± 0.0002,0.0667 ± 0.0001
200,100,0.8927 ± 0.0004,0.0894 ± 0.0002,0.0667 ± 0.0001
200,200,0.8927 ± 0.0004,0.0894 ± 0.0002,0.0667 ± 0.0001
200,500,0.8927 ± 0.0004,0.0894 ± 0.0002,0.0667 ± 0.0001
300,10,0.5656 ± 0.0007,0.1798 ± 0.0002,0.1384 ± 0.0001
300,50,0.8934 ± 0.0004,0.0891 ± 0.0002,0.0666 ± 0.0001
300,100,0.8934 ± 0.0004,0.0891 ± 0.0002,0.0666 ± 0.0001
300,200,0.8934 ± 0.0004,0.0891 ± 0.0002,0.0666 ± 0.0001
300,500,0.8934 ± 0.0004,0.0891 ± 0.0002,0.0666 ± 0.0001
500,10,0.5660 ± 0.0005,0.1798 ± 0.0001,0.1383 ± 0.0001
500,50,0.8939 ± 0.0003,0.0889 ± 0.0001,0.0666 ± 0.0001
500,100,0.8939 ± 0.0003,0.0889 ± 0.0001,0.0666 ± 0.0001
500,200,0.8939 ± 0.0003,0.0889 ± 0.0001,0.0666 ± 0.0001
500,500,0.8939 ± 0.0003,0.0889 ± 0.0001,0.0666 ± 0.0001
1000,10,0.5661 ± 0.0003,0.1797 ± 0.0001,0.1383 ± 0.0001
1000,50,0.8943 ± 0.0002,0.0887 ± 0.0001,0.0665 ± 0.0000
1000,100,0.8943 ± 0.0002,0.0887 ± 0.0001,0.0665 ± 0.0000
1000,200,0.8943 ± 0.0002,0.0887 ± 0.0001,0.0665 ± 0.0000
1000,500,0.8943 ± 0.0002,0.0887 ± 0.0001,0.0665 ± 0.0000
