n_estimators,max_depth,R2,RMSE,MAE
100,10,0.0503 ± 0.0000,0.2659 ± 0.0000,0.2263 ± 0.0000
100,50,0.0503 ± 0.0000,0.2659 ± 0.0000,0.2263 ± 0.0000
100,100,0.0503 ± 0.0000,0.2659 ± 0.0000,0.2263 ± 0.0000
100,200,0.0503 ± 0.0000,0.2659 ± 0.0000,0.2263 ± 0.0000
100,500,0.0503 ± 0.0000,0.2659 ± 0.0000,0.2263 ± 0.0000
200,10,0.0503 ± 0.0000,0.2659 ± 0.0000,0.2263 ± 0.0000
200,50,0.0503 ± 0.0000,0.2659 ± 0.0000,0.2263 ± 0.0000
200,100,0.0503 ± 0.0000,0.2659 ± 0.0000,0.2263 ± 0.0000
200,200,0.0503 ± 0.0000,0.2659 ± 0.0000,0.2263 ± 0.0000
200,500,0.0503 ± 0.0000,0.2659 ± 0.0000,0.2263 ± 0.0000
300,10,0.0503 ± 0.0000,0.2659 ± 0.0000,0.2263 ± 0.0000
300,50,0.0503 ± 0.0000,0.2659 ± 0.0000,0.2263 ± 0.0000
300,100,0.0503 ± 0.0000,0.2659 ± 0.0000,0.2263 ± 0.0000
300,200,0.0503 ± 0.0000,0.2659 ± 0.0000,0.2263 ± 0.0000
300,500,0.0503 ± 0.0000,0.2659 ± 0.0000,0.2263 ± 0.0000
500,10,0.0503 ± 0.0000,0.2659 ± 0.0000,0.2263 ± 0.0000
500,50,0.0503 ± 0.0000,0.2659 ± 0.0000,0.2263 ± 0.0000
500,100,0.0503 ± 0.0000,0.2659 ± 0.0000,0.2263 ± 0.0000
500,200,0.0503 ± 0.0000,0.2659 ± 0.0000,0.2263 ± 0.0000
500,500,0.0503 ± 0.0000,0.2659 ± 0.0000,0.2263 ± 0.0000
1000,10,0.0503 ± 0.0000,0.2659 ± 0.0000,0.2263 ± 0.0000
1000,50,0.0503 ± 0.0000,0.2659 ± 0.0000,0.2263 ± 0.0000
1000,100,0.0503 ± 0.0000,0.2659 ± 0.0000,0.2263 ± 0.0000
1000,200,0.0503 ± 0.0000,0.2659 ± 0.0000,0.2263 ± 0.0000
1000,500,0.0503 ± 0.0000,0.2659 ± 0.0000,0.2263 ± 0.0000
