n_estimators,max_depth,R2,RMSE,MAE
100,10,0.2200 ± 0.0014,0.2410 ± 0.0002,0.2037 ± 0.0002
100,50,0.8033 ± 0.0010,0.1210 ± 0.0003,0.0972 ± 0.0001
100,100,0.8051 ± 0.0013,0.1205 ± 0.0004,0.0967 ± 0.0002
100,200,0.8051 ± 0.0013,0.1205 ± 0.0004,0.0967 ± 0.0002
100,500,0.8051 ± 0.0013,0.1205 ± 0.0004,0.0967 ± 0.0002
200,10,0.2212 ± 0.0011,0.2408 ± 0.0002,0.2036 ± 0.0001
200,50,0.8061 ± 0.0005,0.1202 ± 0.0002,0.0970 ± 0.0000
200,100,0.8078 ± 0.0008,0.1196 ± 0.0002,0.0965 ± 0.0001
200,200,0.8078 ± 0.0008,0.1196 ± 0.0002,0.0965 ± 0.0001
200,500,0.8078 ± 0.0008,0.1196 ± 0.0002,0.0965 ± 0.0001
300,10,0.2216 ± 0.0011,0.2408 ± 0.0002,0.2036 ± 0.0002
300,50,0.8070 ± 0.0005,0.1199 ± 0.0001,0.0969 ± 0.0001
300,100,0.8086 ± 0.0008,0.1194 ± 0.0002,0.0964 ± 0.0002
300,200,0.8086 ± 0.0008,0.1194 ± 0.0002,0.0964 ± 0.0002
300,500,0.8086 ± 0.0008,0.1194 ± 0.0002,0.0964 ± 0.0002
500,10,0.2220 ± 0.0013,0.2407 ± 0.0002,0.2036 ± 0.0002
500,50,0.8076 ± 0.0004,0.1197 ± 0.0001,0.0968 ± 0.0001
500,100,0.8091 ± 0.0005,0.1192 ± 0.0002,0.0964 ± 0.0001
500,200,0.8091 ± 0.0005,0.1192 ± 0.0002,0.0964 ± 0.0001
500,500,0.8091 ± 0.0005,0.1192 ± 0.0002,0.0964 ± 0.0001
1000,10,0.2225 ± 0.0005,0.2406 ± 0.0001,0.2035 ± 0.0001
1000,50,0.8081 ± 0.0002,0.1195 ± 0.0001,0.0967 ± 0.0000
1000,100,0.8096 ± 0.0002,0.1191 ± 0.0001,0.0963 ± 0.0000
1000,200,0.8096 ± 0.0002,0.1191 ± 0.0001,0.0963 ± 0.0000
1000,500,0.8096 ± 0.0002,0.1191 ± 0.0001,0.0963 ± 0.0000
