n_estimators,max_depth,R2,RMSE,MAE
100,10,0.3230 ± 0.0027,0.2245 ± 0.0005,0.1938 ± 0.0004
100,50,0.8303 ± 0.0008,0.1124 ± 0.0003,0.0906 ± 0.0002
100,100,0.8308 ± 0.0010,0.1122 ± 0.0003,0.0905 ± 0.0002
100,200,0.8308 ± 0.0010,0.1122 ± 0.0003,0.0905 ± 0.0002
100,500,0.8308 ± 0.0010,0.1122 ± 0.0003,0.0905 ± 0.0002
200,10,0.3249 ± 0.0025,0.2242 ± 0.0004,0.1936 ± 0.0003
200,50,0.8325 ± 0.0006,0.1117 ± 0.0002,0.0905 ± 0.0002
200,100,0.8329 ± 0.0006,0.1115 ± 0.0002,0.0903 ± 0.0002
200,200,0.8329 ± 0.0006,0.1115 ± 0.0002,0.0903 ± 0.0002
200,500,0.8329 ± 0.0006,0.1115 ± 0.0002,0.0903 ± 0.0002
300,10,0.3239 ± 0.0018,0.2244 ± 0.0003,0.1938 ± 0.0002
300,50,0.8335 ± 0.0006,0.1114 ± 0.0002,0.0904 ± 0.0001
300,100,0.8338 ± 0.0006,0.1112 ± 0.0002,0.0903 ± 0.0001
300,200,0.8338 ± 0.0006,0.1112 ± 0.0002,0.0903 ± 0.0001
300,500,0.8338 ± 0.0006,0.1112 ± 0.0002,0.0903 ± 0.0001
500,10,0.3245 ± 0.0025,0.2243 ± 0.0004,0.1937 ± 0.0003
500,50,0.8341 ± 0.0003,0.1111 ± 0.0001,0.0903 ± 0.0001
500,100,0.8344 ± 0.0002,0.1110 ± 0.0001,0.0902 ± 0.0001
500,200,0.8344 ± 0.0002,0.1110 ± 0.0001,0.0902 ± 0.0001
500,500,0.8344 ± 0.0002,0.1110 ± 0.0001,0.0902 ± 0.0001
1000,10,0.3252 ± 0.0015,0.2242 ± 0.0002,0.1936 ± 0.0002
1000,50,0.8346 ± 0.0002,0.1110 ± 0.0001,0.0903 ± 0.0001
1000,100,0.8350 ± 0.0002,0.1108 ± 0.0001,0.0902 ± 0.0001
1000,200,0.8350 ± 0.0002,0.1108 ± 0.0001,0.0902 ± 0.0001
1000,500,0.8350 ± 0.0002,0.1108 ± 0.0001,0.0902 ± 0.0001
