Epoch,Train_Loss,Test_Loss,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Train_MAE,Test_MAE
1,0.10643224299631336,0.053397856652736664,0.3278359,0.23107977,-0.44530975818634033,0.28511667251586914,0.252230703830719,0.18130676448345184
2,0.054621912708336655,0.045930083841085434,0.23258409,0.21431306,0.27254199981689453,0.38509422540664673,0.18488635122776031,0.17184069752693176
3,0.04832650780339132,0.04270187392830849,0.21931922,0.20664431,0.3531532883644104,0.42831307649612427,0.175178661942482,0.16206607222557068
4,0.04463185657831756,0.04629237577319145,0.21214655,0.21515663,0.3947708010673523,0.3802439570426941,0.16750329732894897,0.16551600396633148
5,0.043926798569207844,0.0401591956615448,0.20959352,0.20039761,0.40925002098083496,0.46235406398773193,0.1672496646642685,0.16015341877937317
6,0.040578112598847256,0.038089361041784286,0.20048708,0.19516495,0.45946890115737915,0.4900648593902588,0.15883678197860718,0.1570468693971634
7,0.041447185445576906,0.03738977760076523,0.20292112,0.19336437,0.446264386177063,0.49943071603775024,0.16013571619987488,0.15316139161586761
8,0.03895429767329584,0.036194127053022385,0.19780436,0.19024754,0.4738377332687378,0.5154379606246948,0.15622854232788086,0.14669758081436157
9,0.03811286978254264,0.03573083132505417,0.19393714,0.18902601,0.4942103624343872,0.521640419960022,0.15326204895973206,0.14763246476650238
10,0.03618452803824435,0.034848086535930634,0.18968557,0.18667641,0.5161436200141907,0.5334585905075073,0.1493702232837677,0.1441614329814911
11,0.03606098327277736,0.03311886638402939,0.19001137,0.1819859,0.5144799947738647,0.5566090941429138,0.14736416935920715,0.145143061876297
12,0.033390984489497816,0.03179722651839256,0.18299615,0.17831776,0.5496689677238464,0.5743030309677124,0.14450232684612274,0.13844139873981476
13,0.03349752491340041,0.031530026346445084,0.18246861,0.17756698,0.5522616505622864,0.5778802633285522,0.14273729920387268,0.1391034722328186
14,0.03256223625926809,0.03272566944360733,0.1802596,0.18090238,0.5630368590354919,0.5618731379508972,0.14080999791622162,0.13863533735275269
15,0.03079220529815013,0.02961464412510395,0.17534836,0.17208906,0.5865229368209839,0.6035231351852417,0.13619044423103333,0.13520899415016174
16,0.03000792640854012,0.02775460295379162,0.17414294,0.16659713,0.5921882390975952,0.628425121307373,0.13538508117198944,0.12898316979408264
17,0.030065273527394642,0.026028521358966827,0.1718551,0.16133356,0.6028332710266113,0.6515337228775024,0.13309286534786224,0.12225475162267685
18,0.029465936801650307,0.025944888591766357,0.17130093,0.16107418,0.6053906679153442,0.6526533365249634,0.13223537802696228,0.12358825653791428
19,0.028519105293195356,0.025155682116746902,0.168399,0.15860543,0.6186471581459045,0.6632190942764282,0.12906119227409363,0.11987680196762085
20,0.02817242935469205,0.024473369121551514,0.16644597,0.15643966,0.62744140625,0.6723538637161255,0.12774354219436646,0.11931100487709045
21,0.027907181869853626,0.025670116767287254,0.16674894,0.16021897,0.6260839104652405,0.6563319563865662,0.1272055059671402,0.11967828124761581
22,0.02623645897785371,0.0242239311337471,0.16213249,0.1556404,0.6465011239051819,0.6756932735443115,0.12520034611225128,0.11765773594379425
23,0.02541929805143313,0.023119725286960602,0.15856116,0.15205172,0.6619027853012085,0.6904762387275696,0.12186454236507416,0.1169685572385788
