Base_Fratures,Importance
FPSA4,0.029036256
GATS2v,0.029113784
MIC2,0.029379766
Sv,0.029236868
MATS2are,0.09887509
MATS6s,0.029297898
MATS4d,0.12733357
AATSC6dv,0.028662259
BCUTv-1h,0.029101122
MAXsCH3,0.028839596
MATS2i,0.02850522
ETA_epsilon_4,0.028174225
AATS5i,0.028753329
BCUTd-1l,0.028944787
FNSA3,0.028650375
VR1_D,0.028450204
AATSC2p,0.028671838
MATS3Z,0.029526532
GATS2m,0.028799314
MATS7i,0.028869117
GATS1v,0.028971588
ATSC6s,0.029078411
BIC4,0.029848324
BCUTs-1l,0.029888319
ATS0v,0.02952308
nFHRing,0.029097129
ETA_dPsi_A,0.02960421
piPC10,0.028900672
SpAD_Dzare,0.028172962
ZMIC2,0.029203882
MATS6c,0.028533392
GATS1se,0.029110273
ATS2i,0.03908292
ATS7i,0.083040595
AATS1se,0.02889071
SpAbs_DzZ,0.02909978
AETA_beta_s,0.047953267
SpDiam_Dzv,0.029353479
SIC0,0.029600527
GATS2c,0.02883919
ATSC0are,0.028931776
SpMax_Dzse,0.029467918
FPSA5,0.029342169
nH,0.028816536
GATS6Z,0.029662991
ATSC4p,0.028542
ATS7Z,0.028353328
AATS0dv,0.036001347
ATS5p,0.028317908
SpAD_Dzv,0.030349808
ATS6d,0.028112385
IC4,0.029601352
AATSC7p,0.030230442
GATS4v,0.028612714
BIC5,0.031487614
AATS3se,0.029096002
MATS3c,0.029455354
ATSC1v,0.029063033
SpAD_Dzpe,0.028559173
BCUTdv-1l,0.028818764
ETA_epsilon_3,0.02952478
ATS1se,0.049856603
SpAbs_D,0.028758468
NssCH2,0.036197115
MAXdsN,0.029207198
MATS2Z,0.028325392
MATS1i,0.028630994
VR3_DzZ,0.029495291
AATS4m,0.028897107
ATS2pe,0.028442008
ATSC1p,0.028874833
ATSC0d,0.02900576
AXp-2d,0.029709449
SZ,0.029365394
ATS7s,0.029171104
VE2_Dzi,0.029643755
ETA_alpha,0.028942153
ATSC6c,0.028835913
MATS3i,0.028490203
LogEE_D,0.029052332
GATS5dv,0.028563783
VE1_Dzm,0.029046403
GATS2dv,0.028820237
MATS4Z,0.029481614
VR1_Dzv,0.029514387
VE1_Dzpe,0.028721843
nBonds,0.029281009
VR1_Dzse,0.028621076
ATSC3p,0.028899245
ATSC7v,0.033316027
ATS1m,0.028993018
SlogP_VSA2,0.029292941
ETA_dAlpha_B,0.02924275
SpMAD_Dzpe,0.030062463
VSA_EState2,0.028940998
SdssC,0.028888635
AATS2pe,0.029773165
LogEE_Dzpe,0.029625544
AATSC4se,0.028739985
MATS4c,0.02902761
