Product_Fratures,Importance
SMR_VSA1,0.036039267
GATS8s,0.13520154
MATS7se,0.061931517
ATS2d,0.13556413
GeomPetitjeanIndex,0.19650988
VE2_Dzp,0.05318944
ATSC8v,0.19953437
MATS5v,0.031733062
LogEE_Dzv,0.14242332
IC3,0.042832315
GATS6s,0.07201043
ATS5Z,0.058928713
AATS6p,0.14959759
AATS3i,0.06518536
GATS7i,0.030846149
MID_N,0.050016392
GATS6Z,0.030164668
GeomShapeIndex,0.14268558
VSA_EState1,0.0618077
VSA_EState5,0.050285213
GATS2p,0.106185615
GATS5d,0.15568452
VR3_Dzv,0.1567523
GATS6dv,0.096868664
GATS5c,0.03708089
ATS8s,0.13404772
MATS8s,0.10377534
BCUTpe-1l,0.094099894
MATS3s,0.0357399
SpAD_Dzpe,0.030861957
ATS5v,0.14753278
SpDiam_Dzare,0.066973045
GeomRadius,0.031857412
SpMax_Dzse,0.13290727
AATSC0se,0.030165363
ATS4pe,0.062373795
AATS1se,0.1770606
MATS5Z,0.10336486
AATS7are,0.13103041
GATS7are,0.065845944
BCUTv-1h,0.046293218
ATSC4s,0.0423562
SpDiam_Dzse,0.0444587
MATS5d,0.034387868
SpDiam_Dzm,0.0638751
AATSC2i,0.09444152
AATSC5Z,0.0315201
LogEE_Dzare,0.1083182
AATSC8are,0.040568072
PBF,0.09966762
AATSC2c,0.032089204
TIC1,0.032654226
MATS7pe,0.10373868
SpDiam_Dzp,0.043506283
AETA_beta_ns,0.15646428
Xp-5dv,0.050006397
GATS6p,0.032800548
DPSA4,0.029440092
AATS7dv,0.051220287
MATS3d,0.055932153
ATS1dv,0.099531285
GATS7p,0.18163854
MATS7are,0.030324431
ATSC7are,0.17327769
AATSC5i,0.06131685
AATSC5v,0.030254863
MIC5,0.10291898
MATS8i,0.11601888
AATSC3c,0.030670807
AATSC6Z,0.07689366
SM1_Dzv,0.08264185
MATS8c,0.09384028
GATS8c,0.10938724
AATSC8s,0.029917892
MATS2m,0.060796335
GRAVHp,0.06769832
GRAVH,0.07979803
FNSA5,0.049276542
MATS8Z,0.05689459
AATS4v,0.035476256
GATS8v,0.083370686
FNSA1,0.107506685
MATS6m,0.057819664
ATSC6m,0.1531804
ATS2dv,0.13790627
AATS7d,0.030096905
ATSC3p,0.059258394
AATS0se,0.030516118
ATSC2c,0.046049856
ETA_beta,0.088276
ATSC5i,0.046564106
AATSC5se,0.10732912
VE2_Dzv,0.07488412
ATSC7c,0.13628921
ATSC8Z,0.096023716
AATS4are,0.033701926
AATSC5m,0.078224465
AATS8i,0.08156431
GATS5i,0.03796833
ATSC7m,0.10291745
